ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,bp_rp,teff_val,lum_val
290.5360074904636,44.194273183990106,0.475893432158488,0.04193507370372244,-0.17573845204428362,-4.929781542699274,16.387934,16.818638,168.25282,15.8041115,280.65237,1.0145264,5302.3335,0.9586002
290.5942189791425,44.138004681840705,0.9797777477642936,0.024931618447283928,-0.3019798783326625,-0.10183463728168776,15.200791,15.61784,387.1651,14.636943,762.8466,0.98089695,5367.5,0.66911256
290.3450151046391,44.35665078747685,0.3221996058030297,0.07005041059586872,2.8011199469830608,8.234698674082429,17.160475,17.438242,114.10235,16.695463,122.03293,0.7427788,,
290.58082558848344,44.09222506385428,0.36962294356684905,0.01344813875360248,-6.302263525890215,-2.184964269412203,13.17862,13.767005,786.2986,12.460755,1305.8622,1.3062496,4972.0,32.40549
290.37847687312905,44.13948020058162,,,,,15.343431,15.633206,195.24144,14.721221,420.15604,0.9119854,5617.15,
290.56585600573635,44.15108225288154,1.4736200345822987,0.052531804869102174,3.107653803744053,8.262370727352202,16.559858,17.361153,143.16556,15.697512,321.57492,1.663641,4285.76,0.11524284
290.35310933913814,43.55034308553327,0.688257952443891,0.01831891431607265,0.512258804280417,-10.576017740502662,14.313645,14.586878,748.4169,13.871702,829.8774,0.7151756,6284.0,2.9032476
289.98061677937864,44.12489280765821,0.45523251632367134,0.04151272144610649,0.5778388239865506,-2.0987841089261225,16.523905,16.936863,231.46796,15.951434,328.20236,0.9854288,5329.995,0.9207878
290.3540290608162,43.946158552365134,0.36323624230624324,0.021981283679224025,-3.942888376957312,-3.542140601134535,14.799514,15.383545,398.015,14.089273,894.8248,1.2942715,5037.1797,7.4358144
290.3334265773068,44.06185575704159,0.42522351242125467,0.031015262808053057,-2.7702753936228577,-3.5484787184509083,15.882455,16.20309,288.2821,15.400182,650.9778,0.8029089,5832.0,1.8207817
290.09145304508587,43.731289298173905,1.0962306088844007,0.02675798101087114,-5.824288918098187,-8.924775673007046,15.391788,15.870885,379.73996,14.769099,618.6464,1.1017857,5009.843,0.47585532
290.2587660769974,43.65115862749775,0.39405804458871724,0.05457346769046863,-0.34084125107178753,-4.389396748611343,16.808899,17.166826,139.43909,16.279373,278.60245,0.8874531,5600.1567,
290.42553983613607,44.21936019888432,0.5674666778688446,0.023130010529296433,1.6879655101779691,-0.6143312794525015,14.893071,15.24807,586.16956,14.384374,753.15674,0.8636961,5743.3335,2.556708
290.1156113748909,44.17777473042902,0.22682142644669184,0.03691269551236083,-1.7672870293712153,-4.186328750840159,16.111149,16.49274,208.10716,15.55479,411.57343,0.9379511,5283.0,
290.04490940962916,44.0870982430506,0.10661004678167989,0.029620156209821436,-1.4250749283096757,-4.5598014224677454,15.611906,16.190073,352.65512,14.891139,684.0313,1.298934,4800.0,
290.0691044719957,43.765861946417296,0.668889271854394,0.025852986635264672,-3.392962311684467,-12.42270084959518,15.260148,15.5842905,500.43457,14.769415,638.4722,0.8148756,5815.25,1.3065114
290.1618687793928,43.810575129984976,0.9894504322257361,0.020530838055554338,7.365116958607888,-2.6684413183484157,14.642933,15.019237,621.138,14.109193,931.68353,0.9100437,5460.25,1.0848901
290.0846536686766,44.461679270974386,0.7452875272730537,0.03243454614710334,3.4787564334782903,2.4821467241899597,15.891783,16.288574,244.5946,15.339654,528.42316,0.94892025,5371.0,0.61167204
290.2745925442921,43.85599853488802,0.4923088041518233,0.03562315204685849,-1.6133449906888053,-5.942215170578416,16.076553,16.44261,309.14178,15.541684,297.91043,0.90092564,5516.0,1.1634258
289.9442407283453,43.88557444045477,0.4685203967063259,0.05544690311840083,3.8209996507235315,-1.5674463952391164,16.910097,17.356655,131.14343,16.30035,270.9399,1.0563049,5361.872,0.6065747
290.17717250467535,43.81943656357056,1.0640283023718278,0.04554516632470078,-8.963076195731546,8.918282968530265,16.571249,17.1853,88.977196,15.790123,191.14331,1.3951778,4843.18,0.17735332
289.8977908242606,43.938889032125395,0.2440055263210505,0.0392873563032075,-1.820118998185663,-9.058146078734325,16.265312,16.631924,205.68857,15.728177,366.2939,0.9037466,5422.717,
290.0674329916645,43.76736603400528,0.06782260168787585,0.053255784005982645,-0.6083594832354383,-6.56124172613953,16.768953,17.197758,98.23636,16.15972,180.49501,1.0380383,5154.08,
290.50265683939404,44.09108956974112,0.1849924398180671,0.031115241419145605,-2.401423855541508,-5.465391880455161,15.8336935,16.472708,219.56784,15.074284,598.52374,1.3984241,4914.25,
290.4763465826664,44.062499248478986,0.5377448426666895,0.028518945614505423,-4.886540339194374,-9.61871068198182,15.517964,15.857764,379.08237,14.985719,442.63882,0.8720455,5635.5,1.6138321
290.3877408614068,43.745301153682895,0.5939953290485913,0.026169992307877702,4.512753108453329,5.865713578145214,12.218996,12.303804,579.7499,12.044519,817.6397,0.25928497,8628.667,
289.88020402398354,44.09858038292979,1.4061625276575227,0.032454956768062204,2.084176444471508,-8.487049812664907,15.94231,16.569666,134.29457,15.159276,297.17358,1.4103899,4499.758,0.20294505
290.2112392440578,44.08433440347359,0.8475238900759198,0.03422121414075396,-0.1346096114324835,-12.095682688682441,15.914585,16.384092,235.68372,15.288578,490.52893,1.0955143,4941.128,0.49947453
290.4753760522974,44.063241173200204,0.8076541743488915,0.022157887411232032,8.585979738092977,19.94588561528964,14.701491,15.045816,567.72217,14.181734,777.2098,0.86408234,5493.7427,1.5373137
289.8434476398174,43.752601873745625,0.5703653403248282,0.04588513782145093,-4.3486044612499555,-12.497402707211638,16.387407,16.752762,217.82552,15.856643,330.9374,0.8961191,5580.0664,0.6470811
290.2452599161526,43.66090193928725,0.7679846293343465,0.05766652093387108,-0.4200880137498701,-1.1397303791546025,16.823298,17.488077,116.773796,16.015356,201.23752,1.4727211,4401.8735,0.31501353
290.18074923531935,43.824101834314455,0.6159901059582603,0.04213724823590656,-0.3386580354110431,-0.12086667266101458,16.474764,16.976751,141.7261,15.8372755,307.3291,1.1394758,4942.7046,0.56420743
290.4499090734253,43.85812958900721,0.15848512096806927,0.04523549617061805,-0.7757043326116426,-1.9154502303755343,16.37337,16.874796,261.67157,15.732321,350.56824,1.1424751,4965.0,
290.18720636844984,43.82291179000669,0.39424010540195836,0.01849240889988079,0.5145084037180974,-1.6005432208243113,12.893853,13.461613,1089.7767,12.199813,1521.0808,1.2617998,4925.605,37.426468
290.3639725224186,44.22867974592005,0.8003502897931342,0.030188807785838538,2.2641534769418437,-6.771546930010013,15.248731,15.737757,651.06165,14.607923,751.4203,1.1298342,4976.24,1.0259367
290.28538342726154,43.51308612095502,0.0965954150970181,0.014182046858656493,-3.274171928278524,-3.0936444453087115,13.145147,14.019751,316.98322,12.227585,924.2829,1.7921658,3978.25,
290.12279877771863,43.7805981264159,0.49470196671968253,0.05180652060489117,-4.523779488686956,-10.01797192724583,16.57755,17.028225,164.04883,15.979867,275.046,1.048358,5098.468,0.77014047
290.4164078225994,43.71652651754862,0.4135307582854791,0.0647305586914149,0.3823708573746225,5.122898396442018,16.823809,17.254694,190.904,16.24224,423.8814,1.0124531,5311.0,
290.1828071575951,43.954131101562545,0.25532851119524314,0.061720903518222514,-2.0333685655380442,-5.9324952930507475,17.121859,17.494135,98.92426,16.5768,355.14694,0.9173355,,
