objid,ra,dec,u,g,r,i,z
587727223545007057,322.46259915,12.27230211,25.894478,22.546686,22.019045,21.911505,21.156675
587727223545007322,322.42509652,12.24859607,25.214098,23.768082,22.2675,22.327553,21.536495
587727223545007347,322.45009274,12.26343824,24.235149,23.495422,22.367746,22.498264,21.614922
587727223545007460,322.43028399,12.25441661,24.86606,25.210402,22.818151,21.958019,21.173206
587727223545007467,322.44321884,12.25811882,24.540613,24.714676,23.04627,21.722677,22.743988
587727223545007473,322.45775808,12.26675272,23.171844,23.235662,22.438719,21.783461,21.973925
587727223545069573,322.48035956,12.26885066,17.984753,16.699341,16.105656,15.829858,15.669203
587727223545069575,322.4830842,12.27323395,20.250412,19.319342,18.991138,18.777313,18.714464
587727223545069577,322.48173441,12.2728358,21.416283,20.318575,20.019518,19.766499,19.956724
587727223545069582,322.48267164,12.27468947,21.847065,21.091473,20.730482,20.516602,20.135376
587727223545069619,322.50347428,12.26963833,18.406954,17.07366,16.477449,16.189919,16.028137
587727223545070314,322.49037391,12.27574346,21.056614,20.330769,20.002918,19.804094,19.977501
587727223545070315,322.48867711,12.27562358,22.887589,21.923298,21.500605,21.399944,20.738939
587727223545070679,322.55037258,12.25300796,21.267494,20.176334,19.930494,19.720745,19.65543
587727223545070680,322.54921879,12.25349415,22.350042,21.390381,21.112185,20.801363,20.98204
587727223545070700,322.55237052,12.25813461,20.715065,19.480564,19.213932,19.127089,19.09836
